fps,ep_len_mean,n_updates,value_loss,policy_loss,clipfrac,total_timesteps,explained_variance,approxkl,time_elapsed,serial_timesteps,policy_entropy,ep_reward_mean
794,834.0,44,1.8538949e-05,-0.00070955436,0.045295,2200000,0.3310644030570984,0.0044541922,2765.764566421509,440000,12.393398,0.015527380000000002
812,834.0,45,1.3873661e-05,-0.00021915074,0.047869995,2250000,0.6981025636196136,0.0046551474,2828.6713910102844,450000,12.38561,0.0271749
814,834.0,46,2.0332456e-05,-0.0008011227,0.061644994,2300000,0.770507887005806,0.005199694,2890.2256557941437,460000,12.382506,0.009724419999999998
793,834.0,47,8.973046e-06,-0.0014732758,0.048975002,2350000,0.6082314848899841,0.004647562,2951.596919298172,470000,12.379763,-0.00170123
784,834.0,48,7.66685e-06,-0.0015206423,0.038079996,2400000,0.7359501719474792,0.004096691,3014.584666967392,480000,12.376571,1.4270000000000133e-05
776,834.0,49,1.3269355e-05,-0.001308894,0.031229999,2450000,0.7144520878791809,0.0037859664,3078.279689311981,490000,12.367433,-5.940000000000342e-06
614,834.0,50,2.8790522e-05,-0.0016194585,0.065775,2500000,0.6765317320823669,0.0054971217,3142.709457397461,500000,12.355276,-0.00149453
752,834.0,51,7.2379307e-06,-0.0021262737,0.040664997,2550000,0.7097956240177155,0.0044006365,3224.085655450821,510000,12.34305,-0.0011576300000000002
772,834.0,52,9.49034e-06,-0.0019427914,0.050225,2600000,0.6766828000545502,0.0048741624,3290.516995191574,520000,12.327883,-0.0013146800000000004
660,834.0,53,1.03333205e-05,-0.00057612476,0.080705,2650000,0.7034756541252136,0.0063106036,3355.2387812137604,530000,12.318148,-0.00190842
761,834.0,54,1.0635339e-05,-0.0007511914,0.061490007,2700000,0.6510822772979736,0.0054664914,3430.9532310962677,540000,12.310377,0.0073856500000000005
746,834.0,55,7.164017e-06,-0.002016954,0.048760004,2750000,0.7396864593029022,0.0047604465,3496.596931219101,550000,12.303694,0.00423813
733,834.0,56,8.3976565e-06,-0.0017423534,0.06584,2800000,0.674345463514328,0.0053886157,3563.534061908722,560000,12.295904,0.005122979999999999
752,834.0,57,7.745148e-06,-0.0020321396,0.06303,2850000,0.6192559003829956,0.0054970686,3631.705819606781,570000,12.287531,0.0009420100000000001
740,834.0,58,9.557485e-06,-0.0018862805,0.047274996,2900000,0.6295327246189117,0.004635166,3698.1872770786285,580000,12.278473,-0.0019702899999999995
745,834.0,59,1.0290463e-05,-0.0019639363,0.0602,2950000,0.6556658148765564,0.0052885055,3765.7458419799805,590000,12.271839,-0.0019165200000000005
560,834.0,60,1.4631289e-05,-0.0025691332,0.074255,3000000,0.6318073272705078,0.0060618557,3832.8465259075165,600000,12.268312,-0.0016661900000000001
709,834.0,61,1.565847e-05,-0.0017729948,0.069735005,3050000,0.5904487669467926,0.0056982767,3922.0243968963623,610000,12.265674,-0.00122299
714,834.0,62,1.316739e-05,-0.00019357892,0.09931501,3100000,0.6121771335601807,0.0075575565,3992.462366580963,620000,12.264957,0.006673219999999999
729,834.0,63,1.6541917e-05,-0.0016591732,0.072625004,3150000,0.623516708612442,0.0059665414,4062.4809000492096,630000,12.26414,-0.0007766999999999999
689,834.0,64,4.875921e-05,-0.0013246172,0.06347,3200000,0.7398447096347809,0.0054153316,4131.04251909256,640000,12.262762,0.01214364
718,834.0,65,4.955179e-05,-0.001188045,0.056854997,3250000,0.709168553352356,0.0050733187,4203.556398630142,650000,12.256426,0.01166428
717,834.0,66,1.6192353e-05,-0.001069582,0.074489996,3300000,0.7519882172346115,0.0059375097,4273.10585975647,660000,12.2528105,0.012629650000000001
728,834.0,67,1.7650236e-05,-0.0012305949,0.085360005,3350000,0.6729398965835571,0.0066093537,4342.7694408893585,670000,12.249854,-0.00068455
735,834.0,68,1.5660136e-05,-0.0019069987,0.067949995,3400000,0.7615475058555603,0.0056964206,4411.406530618668,680000,12.242988,0.016384499999999996
742,834.0,69,1.4336904e-05,-0.0011778215,0.082005,3450000,0.7753026485443115,0.0064909295,4479.341401815414,690000,12.23834,-0.00035982
605,834.0,70,1.4533473e-05,-0.00080888154,0.043685004,3500000,0.7564668953418732,0.0046008485,4546.662342786789,700000,12.227662,0.006564180000000002
745,834.0,71,1.8664012e-05,-0.00073471473,0.034405,3550000,0.7288180589675903,0.003976613,4629.183444976807,710000,12.215003,0.021582370000000003
734,834.0,72,2.9740928e-05,-0.0013087763,0.05039,3600000,0.7054272592067719,0.004804763,4696.239184379578,720000,12.206251,0.026862379999999998
742,834.0,73,1.0670219e-05,-0.0008840322,0.028195,3650000,0.6841198205947876,0.0037929616,4764.303690195084,730000,12.198818,0.010126370000000003
742,834.0,74,1.296865e-05,-0.001000401,0.035855003,3700000,0.6811134815216064,0.003948992,4831.65456199646,740000,12.187202,-0.0016839000000000001
738,834.0,75,1.5789963e-05,-0.0006112314,0.025774999,3750000,0.695633739233017,0.0036629038,4898.989028930664,750000,12.174509,0.01393433
730,834.0,76,1.9209705e-05,-0.0014864432,0.030044999,3800000,0.7297959625720978,0.0036909734,4966.692274808884,760000,12.160576,0.006399579999999999
728,834.0,77,9.130387e-06,-0.0014877035,0.041275,3850000,0.7866363376379013,0.0044573923,5035.132467746735,770000,12.150569,0.01782206
758,834.0,78,2.0385283e-05,-0.0005530443,0.03237,3900000,0.6408497095108032,0.003699749,5103.781194448471,780000,12.140827,0.028263880000000005
747,834.0,79,9.108664e-06,-0.0015992429,0.053554997,3950000,0.8130612075328827,0.004983071,5169.705568313599,790000,12.13116,0.020923419999999998
618,834.0,80,1.3637595e-05,-0.0018581592,0.074135,4000000,0.7724408060312271,0.0060143843,5236.592324972153,800000,12.1224,0.009689930000000001
759,834.0,81,9.4296065e-06,-0.002270862,0.05508,4050000,0.7186539769172668,0.004941487,5317.488911390305,810000,12.117809,-0.0007047799999999997
750,834.0,82,2.0319649e-05,-0.0007229967,0.050950002,4100000,0.7015293836593628,0.0048270975,5383.349920749664,820000,12.113686,0.017112819999999994
739,834.0,83,1.368783e-05,-0.001436624,0.085820004,4150000,0.7312553524971008,0.006545649,5449.955802202225,830000,12.106983,0.018767179999999998
751,834.0,84,1.3319981e-05,-0.0016137891,0.079174995,4200000,0.7144623696804047,0.006097178,5517.523522615433,840000,12.102116,0.00508448
744,834.0,85,5.818733e-06,-0.0015597646,0.08117501,4250000,0.7980489730834961,0.006367281,5584.0644772052765,850000,12.096504,-0.0009419799999999998
751,834.0,86,1.2182014e-05,-0.0013780285,0.06678,4300000,0.7579797059297562,0.005602509,5651.217214822769,860000,12.089817,0.0025343899999999996
754,834.0,87,8.411412e-06,-0.0013558725,0.039055,4350000,0.8136329054832458,0.0041797105,5717.708021640778,870000,12.086036,0.01095587
740,834.0,88,1.1205114e-05,-0.0008330726,0.04749,4400000,0.8087857961654663,0.004698589,5784.023432254791,880000,12.081252,0.019073839999999998
741,834.0,89,3.7236565e-05,-0.00079773564,0.03406,4450000,0.7455761432647705,0.004049063,5851.53248000145,890000,12.070976,0.029758749999999997
585,834.0,90,4.2430274e-05,-0.0016161526,0.03421,4500000,0.7590441256761551,0.00404211,5919.000123739243,900000,12.057551,0.015023970000000003
678,834.0,91,9.013162e-05,-0.0007490875,0.02656,4550000,0.6686048209667206,0.003354913,6004.367908000946,910000,12.051034,0.036475690000000005
707,834.0,92,0.00025723068,-0.0005888564,0.027539998,4600000,0.4079171419143677,0.0035856462,6078.0322024822235,920000,12.051313,0.18645820999999999
744,834.0,93,0.00010446378,-0.0004105642,0.03716,4650000,0.49936825037002563,0.0041535357,6148.684185743332,930000,12.05385,0.22570917999999998
756,834.0,94,0.00010157872,5.4820965e-05,0.021729998,4700000,0.556058406829834,0.003225342,6215.81968665123,940000,12.051465,0.15316422
756,834.0,95,5.1263687e-05,-0.00038880523,0.040045,4750000,0.7019336819648743,0.0041967644,6281.968635559082,950000,12.049588,0.14806249000000002
749,834.0,96,0.00053999724,-0.00075804646,0.051645003,4800000,0.38046878576278687,0.0050252294,6348.021819829941,960000,12.050385,0.34291221
756,834.0,97,0.0003883646,-0.000585909,0.025545,4850000,0.42293500900268555,0.0036682764,6414.690579414368,970000,12.044783,0.4585625799999999
758,834.0,98,0.00024580213,-9.65541e-05,0.046460006,4900000,0.7454097867012024,0.004563562,6480.811833381653,980000,12.046079,0.21483212999999998
758,834.0,99,0.0009016878,-1.17072195e-05,0.021734998,4950000,0.46759986877441406,0.0032605217,6546.723359584808,990000,12.048051,0.3934507
