mean 100 episode reward,current_lr,value_loss,time_elapsed,ent_coef_loss,episodes,eplenmean,n_updates,entropy,ent_coef,ep_rewmean,qf1_loss,qf2_loss,total timesteps,policy_loss,fps
0.1,0.00025,1.5284171e-05,3319,17.324074,276,834.0,229185,6.0505867,3.4316137e-05,0.088475,6.5407053e-06,7.418722e-06,230184,-0.031403895,69
0.1,0.00025,4.8006505e-06,3361,-7.376257,280,834.0,232521,6.3571267,3.4701312e-05,0.08848478,3.136703e-06,1.3088775e-06,233520,-0.035062995,69
0.1,0.00025,1.8721676e-05,3402,17.275215,284,834.0,235857,6.21518,3.5122317e-05,0.06652389,5.990266e-06,5.510733e-06,236856,-0.027300524,69
0.1,0.00025,6.930618e-06,3443,37.89253,288,834.0,239193,7.2911606,3.6650912e-05,0.06730893,1.4595432e-06,9.499471e-07,240192,-0.024794148,69
0.1,0.00025,6.6521454e-05,3484,14.997601,292,834.0,242529,6.434311,4.1620493e-05,0.07624254,1.6877479e-05,9.804922e-06,243528,-0.044177383,69
0.1,0.00025,1.633874e-06,3526,-6.246107,296,834.0,245865,5.7620854,3.8554055e-05,0.07644778999999999,7.2556186e-06,7.6066726e-06,246864,-0.03461003,70
0.1,0.00025,7.6071233e-06,3568,-11.508369,300,834.0,249201,6.447958,4.2039115e-05,0.07778347,3.052052e-06,6.9851712e-06,250200,-0.03999333,70
0.1,0.00025,1.3735357e-05,3610,-7.7594404,304,834.0,252537,6.204755,4.260924e-05,0.07783836,1.594322e-05,1.8265802e-05,253536,-0.04311499,70
0.1,0.00025,1.2993803e-05,3652,11.977249,308,834.0,255873,6.7019854,4.7193647e-05,0.07783439999999998,5.9651757e-06,7.2137505e-06,256872,-0.058262665,70
0.1,0.00025,4.8766256e-06,3692,-0.9252825,312,834.0,259209,6.302476,4.43589e-05,0.07782779,2.794945e-06,1.910104e-06,260208,-0.052258153,70
0.1,0.00025,4.933237e-05,3734,1.379628,316,834.0,262545,5.863711,4.471419e-05,0.07785402000000001,1.2508714e-05,1.321246e-05,263544,-0.049191445,70
0.1,0.00025,5.4931224e-05,3773,-3.648861,320,834.0,265881,7.3485885,4.912415e-05,0.14259618000000004,1.6659738e-05,1.2404919e-05,266880,-0.04590573,70
0.2,0.00025,4.601335e-05,3813,26.75841,324,834.0,269217,6.463128,5.1920244e-05,0.22110986,1.3871879e-05,9.76565e-06,270216,-0.06481998,70
0.2,0.00025,6.651984e-06,3855,-3.6444643,328,834.0,272553,6.8351,6.314142e-05,0.23862702000000002,1.538768e-05,1.4673461e-05,273552,-0.057594977,70
0.2,0.00025,4.741516e-05,3896,8.195806,332,834.0,275889,6.10745,6.923957e-05,0.17964328999999998,1.499073e-05,1.6264228e-05,276888,-0.068795264,71
0.2,0.00025,1.4134489e-05,3937,-7.9751625,336,834.0,279225,6.9453526,7.11365e-05,0.17967094,5.260023e-06,1.2127479e-05,280224,-0.081612855,71
